NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-14,1,0.66526,10.625,1
-14,1,0.69145,5.3125,1
14,3,0.87297,21.25,0.5
14,3,1.2306,5.3125,0
14,1,0.73546,21.25,0
14,3,0.81042,5.3125,1
-14,1,0.7208,10.625,1
-14,1,0.76619,5.3125,1
14,3,0.75751,42.5,0
-14,3,0.96836,42.5,0.5
-14,1,0.75801,42.5,1
14,3,0.77988,21.25,0.5
-14,1,0.84078,10.625,0
-14,1,0.69822,10.625,1
-14,3,0.73862,21.25,0
-14,3,1.1863,5.3125,0
14,3,1.0758,10.625,1
-14,3,0.77353,21.25,0.5
14,3,1.0112,42.5,0
14,1,0.82201,10.625,0
14,3,0.76442,10.625,0
-14,3,0.81019,21.25,0
-14,1,0.72435,42.5,1
14,3,0.80005,21.25,0
14,1,0.93503,21.25,0
-14,1,1.2953,5.3125,0.5
14,3,0.71346,21.25,0
14,1,0.71216,5.3125,0.5
-14,3,0.82265,21.25,0
-14,1,0.79433,10.625,1
14,3,0.72339,42.5,0.5
-14,1,0.62586,42.5,1
-14,1,0.98865,42.5,0.5
-14,1,0.66503,10.625,1
14,3,0.80487,42.5,1
14,3,0.809,42.5,0.5
14,3,0.72778,21.25,1
14,1,0.87574,10.625,1
-14,1,1.8781,21.25,0.5
14,3,0.61106,10.625,1
14,3,0.78441,21.25,1
-14,3,0.80094,5.3125,0
-14,3,0.76558,42.5,0
14,3,0.66233,10.625,0.5
14,3,0.71431,42.5,0.5
14,3,1.1852,21.25,1
14,1,0.77113,5.3125,0
-14,1,0.86651,5.3125,0
14,1,0.87212,10.625,0
14,1,1.1539,21.25,0
-14,1,0.76624,21.25,1
14,1,0.79402,10.625,0
14,3,0.6585,10.625,1
14,3,0.75694,5.3125,1
-14,1,0.77364,10.625,0.5
14,1,0.82807,5.3125,0.5
-14,3,0.74432,42.5,0
-14,1,0.69047,5.3125,1
-14,1,0.65392,42.5,1
14,3,1.1111,21.25,0.5
14,1,0.77215,21.25,0
-14,1,0.80184,21.25,0.5
14,3,1.0601,21.25,0.5
14,1,0.75485,5.3125,0
14,1,0.81391,5.3125,0
-14,1,0.74859,5.3125,0.5
-14,1,0.77414,21.25,0.5
-14,1,0.68328,42.5,1
14,3,1.0779,21.25,0
-14,3,1.1872,42.5,0
14,1,0.70345,42.5,0
