NumTrials=1200, DotSize = 3, Nx = 308, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
17,1,0.54617,5.3125,0.75
-17,1,0.9263,42.5,0.5
-17,3,0.54319,42.5,0.25
17,1,0.78588,10.625,1
17,3,0.52885,21.25,0.75
-17,1,0.5329,42.5,0.75
17,3,0.5611,5.3125,1
-17,1,0.6885,10.625,0.75
-17,1,0.55996,42.5,1
-17,3,0.52559,5.3125,0.5
-17,1,0.57374,21.25,0
17,1,0.6892,10.625,0.25
-17,1,0.59637,5.3125,0.75
17,3,0.58283,21.25,0.5
-17,3,0.61623,5.3125,0.25
-17,1,0.52929,21.25,1
-17,1,0.63223,5.3125,0.75
-17,3,0.6225,5.3125,0.5
-17,1,0.54609,42.5,0.75
-17,3,0.65637,10.625,0
-17,1,0.58081,5.3125,1
-17,3,0.56586,10.625,0.5
-17,1,0.53423,10.625,1
17,3,0.5503,5.3125,0.25
17,3,0.60604,5.3125,0
-17,1,0.51724,10.625,0.25
17,1,0.61272,10.625,0.5
17,3,1.6587,5.3125,0.75
-17,3,0.73747,10.625,0.5
-17,1,0.63718,10.625,0.75
-17,1,0.53268,10.625,1
-17,3,0.52593,10.625,0.5
-17,1,0.53354,21.25,0
17,3,0.50985,21.25,0.25
17,3,0.56926,10.625,0.75
17,3,1.043,10.625,0.5
-17,1,0.63342,5.3125,1
-17,3,0.52926,21.25,0
17,3,0.77069,42.5,0.75
17,1,0.5975,5.3125,0.25
17,3,0.55286,42.5,0
-17,3,0.77118,42.5,0.25
17,3,0.73421,10.625,1
17,3,0.66113,10.625,0
-17,3,0.5855,42.5,0
17,3,0.55548,21.25,0.75
-17,1,0.54735,5.3125,1
17,3,0.52029,10.625,0.5
-17,3,1.3786,21.25,0.5
-17,1,0.50983,21.25,0.5
-17,3,0.53338,21.25,0.5
17,1,0.52156,21.25,1
17,1,0.63149,5.3125,1
-17,3,0.53569,42.5,0.5
17,3,0.55487,42.5,0.5
17,1,0.54798,21.25,0.25
17,1,0.53157,5.3125,0
17,3,0.63592,42.5,0.5
17,1,0.59451,21.25,0
-17,1,0.61107,5.3125,1
-17,1,0.5827,21.25,0.75
-17,3,0.56048,5.3125,0.25
17,3,0.8791,21.25,0
-17,3,0.64884,42.5,0.25
17,1,0.88096,5.3125,1
17,1,0.56248,10.625,0
-17,1,0.57366,21.25,0.75
17,3,0.71518,5.3125,0.25
-17,3,0.6935,21.25,0.25
17,3,0.63516,10.625,0.25
-17,1,0.68533,5.3125,1
-17,3,0.68988,21.25,0.5
-17,3,0.53737,5.3125,0.5
-17,3,0.58117,5.3125,0.25
-17,1,0.52387,42.5,0.75
17,3,0.66419,21.25,0.5
-17,3,0.6593,21.25,0.25
-17,1,0.54715,21.25,0.25
-17,1,0.646,10.625,0.25
-17,1,0.57833,42.5,0.5
-17,1,0.57576,5.3125,0.5
17,1,0.69438,5.3125,0
17,3,0.54627,42.5,1
17,1,0.68842,5.3125,0.25
17,3,0.53365,42.5,0
-17,3,0.62323,42.5,0.25
17,3,0.60736,10.625,1
-17,1,0.80653,21.25,0.5
-17,3,0.62196,42.5,0
-17,3,0.53131,42.5,0.75
-17,1,0.52634,10.625,0.5
17,3,0.62467,42.5,0.5
-17,1,0.51662,10.625,1
17,3,0.54752,21.25,1
-17,1,0.531,10.625,1
-17,3,0.51066,10.625,0.5
17,1,0.55355,42.5,0.25
-17,1,0.52785,5.3125,0.75
-17,3,0.53478,42.5,0.5
17,1,0.50878,10.625,0
-17,3,0.50951,5.3125,0.75
-17,3,0.53172,10.625,0.75
-17,1,0.59162,21.25,1
17,3,0.58066,42.5,0.75
-17,1,0.51801,5.3125,0.75
17,3,0.5517,5.3125,0.5
17,3,0.51129,5.3125,0.5
17,3,0.54197,5.3125,0.5
17,3,0.5411,21.25,0.75
17,1,0.58246,5.3125,0
-17,1,0.53378,21.25,0
-17,1,0.52804,10.625,0.75
17,3,0.78011,5.3125,1
17,3,0.78913,42.5,0.75
17,1,0.6872,42.5,0
-17,1,0.6316,42.5,0
17,1,1.7046,10.625,0
-17,1,0.54688,42.5,0.75
-17,1,0.55695,5.3125,0.75
17,1,0.5709,5.3125,0
-17,1,1.249,5.3125,0.25
17,1,0.72186,42.5,0.75
17,3,0.55394,5.3125,0.75
17,1,0.53283,10.625,0.5
-17,1,0.68476,42.5,0
17,3,0.53132,42.5,1
-17,1,0.51487,21.25,1
-17,1,0.6076,10.625,0.5
-17,1,0.72923,5.3125,0.75
17,3,0.52906,21.25,1
17,3,0.56411,21.25,0.5
17,1,0.5749,42.5,0.25
17,3,0.51479,21.25,0.5
-17,1,0.52839,5.3125,1
17,1,1.0841,5.3125,0
17,3,0.54863,5.3125,0.5
-17,1,0.52727,10.625,1
17,3,0.59204,42.5,0.25
-17,1,0.53807,21.25,0.75
17,3,0.50881,5.3125,1
17,1,0.55065,21.25,0.75
-17,3,0.52159,21.25,0
-17,1,0.50708,10.625,0
17,1,0.55426,5.3125,0.75
17,1,0.61057,10.625,0.25
17,3,0.54668,42.5,0.5
-17,1,0.54426,10.625,0.5
17,1,0.5469,42.5,0.75
-17,1,0.59714,21.25,0.75
17,3,0.52396,10.625,0
-17,3,0.53422,10.625,0.25
-17,1,0.5345,42.5,0.75
17,3,0.57166,21.25,0.5
-17,1,0.54624,42.5,1
-17,3,0.53132,42.5,0.25
17,3,0.50897,5.3125,0.5
17,3,0.55898,10.625,0.25
-17,1,0.50528,21.25,1
17,3,0.56862,10.625,0.5
17,1,0.5568,21.25,0.25
-17,1,0.54581,5.3125,1
-17,3,0.58011,21.25,0.25
-17,1,0.65751,5.3125,0.75
-17,3,0.55818,21.25,0.25
-17,1,0.50855,5.3125,1
-17,3,0.557,42.5,0.5
17,3,0.55843,10.625,0
